Cím;Hossz;Ev;Mufaj;Dijak
Pirula Panda;100;2022;Kaland;2
Rango;107;2011;Western;3
Az illuzionista;80;2010;Dráma;1
Hibás Ron;106;2021;Kaland;N
Z, a hangya;83;1998;Kaland;N
Derült égbõl fasírt;90;2009;Vígjáték;1
Ferdinánd;99;2017;Vígjáték;3
Bambi;70;1942;Dráma;3
Encanto;102;2021;Vígjáték;6
A Lego-kaland;100;2014;Kaland;3
A hercegnõ és a béke;97;2009;Vígjáték;4
Karácsony Artúr;97;2011;Vígjáték;1
