Kategoria;Ar;Idoszak
Felnott;9100;EN
Felnott Cs-Cs megyei;7700;EN
Senior;5000;EN
Diak;5000;EN
Gyermek;5000;EN
Csaladi-2-1;21200;EN
Csaladi-2-2;26000;EN
Csaladi-2-3;30500;EN
Csaladi-1-1;12900;EN
Csaladi-1-2;17600;EN
Csaladi-1-3;22100;EN
Felnott;7400;3
Senior;4000;3
Diak;4000;3
Gyermek;4000;3
Felnott;4100;2
Senior;2600;2
Diak;2600;2
Gyermek;2600;2
